review_id,domain,entity_id,entity_name,review_text,sentiment_text,sentiment_label,rating,rating_original,review_date,source,raw_source_path,label_method,text_key
amazon_11142,ecommerce,B07C97XHJH,B07C97XHJH,Perfect as party favors,Perfect as party favors,positive,5.0,5.0,1551449801832,amazon_all_beauty,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\ecommerce_amazon\amazon_all_beauty_sample.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive; review body only, title excluded to prevent star-title leakage",9623708884876605986
amazon_2523,ecommerce,B00S7Q02T8,B00S7Q02T8,The seller is very nice and will answer any question you have.,The seller is very nice and will answer any question you have.,positive,5.0,5.0,1459036124000,amazon_all_beauty,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\ecommerce_amazon\amazon_all_beauty_sample.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive; review body only, title excluded to prevent star-title leakage",13118270084469744059
amazon_13727,ecommerce,B08C5LDCMP,B08C5LDCMP,Its a good one.,Its a good one.,positive,5.0,5.0,1607395160474,amazon_all_beauty,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\ecommerce_amazon\amazon_all_beauty_sample.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive; review body only, title excluded to prevent star-title leakage",3989296810129903170
amazon_3465,ecommerce,B00ZD593BY,B00ZD593BY,"Great shine, superior product","Great shine, superior product",positive,5.0,5.0,1470592005000,amazon_all_beauty,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\ecommerce_amazon\amazon_all_beauty_sample.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive; review body only, title excluded to prevent star-title leakage",11349629597496720498
amazon_8751,ecommerce,B005FGR5K2,B005FGR5K2,Not a fan of the size for the price! It’s like one use and it’s almost empty! 🤦🏻‍♀️,Not a fan of the size for the price! It’s like one use and it’s almost empty! 🤦🏻‍♀️,negative,2.0,2.0,1531322657157,amazon_all_beauty,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\ecommerce_amazon\amazon_all_beauty_sample.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive; review body only, title excluded to prevent star-title leakage",9137626831920470580
amazon_9389,ecommerce,B07CH8XLLD,B07CH8XLLD,love it for a daily facial massage!,love it for a daily facial massage!,positive,5.0,5.0,1542280753730,amazon_all_beauty,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\ecommerce_amazon\amazon_all_beauty_sample.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive; review body only, title excluded to prevent star-title leakage",1936859338110359802
amazon_2422,ecommerce,B00DT4757A,B00DT4757A,"I am on my second bottle. The first bottle was amazing!!! It's smelled good adn cleaned my blackheads like nothing I had ever experienced. I loved it so much I left that bottle at my boyfriends house and purchased another $40 bottle. This second bottle is NOT THE SAME PRODUCT!!!! It smells and feels different and is not as good as the original. The first bottle felt tingly almost like peppermint on my skin and it had a very pleasant scent to it. I enjoyed using it. The second bottle smells off putting and no longer tingles. It cleans but not like the first order. My boyfirend owns a business, his motto is &#34;Be consistent. Consistanly bad, or consistantly good, but always be consistant.&#34; This product, so far is NOT consistant and at this price people are going to expect to receive the same product for the money spent. Another thing that bothers me about this company besides the inconsistant product line is with every product you order they send a card stating &#34;contact us&#34; - Tell us what you think and we will respond with a coupon code for 10%-50% off your next Amazon order. I have 4 products, 2 More Than Clean and 2 - 100% Confident (I have not yet opened the 2nd bottle of this, so I don't know if it is the same as the first. The first product was discounted due to a special coupon code I found on Facebook which is what prompted me to try it, every time I have re-ordered I follow the instructions to receive another code... they NEVER respond. Stop making offers that you never respond to, it is frustration for customers.","I am on my second bottle. The first bottle was amazing!!! It's smelled good adn cleaned my blackheads like nothing I had ever experienced. I loved it so much I left that bottle at my boyfriends house and purchased another $40 bottle. This second bottle is NOT THE SAME PRODUCT!!!! It smells and feels different and is not as good as the original. The first bottle felt tingly almost like peppermint on my skin and it had a very pleasant scent to it. I enjoyed using it. The second bottle smells off putting and no longer tingles. It cleans but not like the first order. My boyfirend owns a business, his motto is &#34;Be consistent. Consistanly bad, or consistantly good, but always be consistant.&#34; This product, so far is NOT consistant and at this price people are going to expect to receive the same product for the money spent. Another thing that bothers me about this company besides the inconsistant product line is with every product you order they send a card stating &#34;contact us&#34; - Tell us what you think and we will respond with a coupon code for 10%-50% off your next Amazon order. I have 4 products, 2 More Than Clean and 2 - 100% Confident (I have not yet opened the 2nd bottle of this, so I don't know if it is the same as the first. The first product was discounted due to a special coupon code I found on Facebook which is what prompted me to try it, every time I have re-ordered I follow the instructions to receive another code... they NEVER respond. Stop making offers that you never respond to, it is frustration for customers.",negative,2.0,2.0,1479853938000,amazon_all_beauty,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\ecommerce_amazon\amazon_all_beauty_sample.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive; review body only, title excluded to prevent star-title leakage",16893209015361436410
amazon_27073,ecommerce,B075CX2G4B,B075CX2G4B,it looks just like the one in the pic and it has a nice stretch to fit the head love it .and the hair don't come out easy at all looks real .,it looks just like the one in the pic and it has a nice stretch to fit the head love it .and the hair don't come out easy at all looks real .,positive,5.0,5.0,1522964744979,amazon_all_beauty,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\ecommerce_amazon\amazon_all_beauty_sample.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive; review body only, title excluded to prevent star-title leakage",9566557280902342956
amazon_11452,ecommerce,B074T41RSG,B074T41RSG,Saved a few dollars,Saved a few dollars,positive,5.0,5.0,1583272839373,amazon_all_beauty,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\ecommerce_amazon\amazon_all_beauty_sample.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive; review body only, title excluded to prevent star-title leakage",15465492951676749948
amazon_25623,ecommerce,B098SS9RLG,B098SS9RLG,This ponytail is so thin so shiny and feel like plastic. I laughed when I pulled it out the bag because I knew it had to be a joke. Nope jokes on me.. You got me with this one seller.. too funny,This ponytail is so thin so shiny and feel like plastic. I laughed when I pulled it out the bag because I knew it had to be a joke. Nope jokes on me.. You got me with this one seller.. too funny,negative,1.0,1.0,1632064655074,amazon_all_beauty,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\ecommerce_amazon\amazon_all_beauty_sample.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive; review body only, title excluded to prevent star-title leakage",13776175148254290822
amazon_11563,ecommerce,B01G5ZL3EK,B01G5ZL3EK,have used Crest for years! good stuff!,have used Crest for years! good stuff!,positive,5.0,5.0,1530723935252,amazon_all_beauty,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\ecommerce_amazon\amazon_all_beauty_sample.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive; review body only, title excluded to prevent star-title leakage",12450839004810157023
