review_id,domain,entity_id,entity_name,review_text,sentiment_text,sentiment_label,rating,rating_original,review_date,source,raw_source_path,label_method,text_key
hotel_173222,hotel,Millennium Gloucester Hotel London,Millennium Gloucester Hotel London,Very good breakfast excellent service Would use again,Very good breakfast excellent service Would use again,positive,5.0,10.0,11/22/2016,515k_european_hotel_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv,substantive Positive_Review + Reviewer_Score >= 8.0,14555396694650243575
hotel_89720,hotel,H tel des Champs Elys es,H tel des Champs Elys es,The thermostat sucks Too hot in my room The hotel is good and classic,The hotel is good and classic,positive,4.6,9.2,1/28/2016,515k_european_hotel_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv,substantive Positive_Review + Reviewer_Score >= 8.0,6263103781968291858
hotel_464721,hotel,Hotel Stefanie,Hotel Stefanie,The staff were extremely friendly and helpful The hotel was warm and cosy and there were little touches which made it very special Buffet breakfast was delightful with plenty of choice,The staff were extremely friendly and helpful The hotel was warm and cosy and there were little touches which made it very special Buffet breakfast was delightful with plenty of choice,positive,5.0,10.0,12/12/2015,515k_european_hotel_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv,substantive Positive_Review + Reviewer_Score >= 8.0,585834409776614900
hotel_170940,hotel,Rubens At The Palace,Rubens At The Palace,Quite expensive for drinks in the bar The location was stunning,The location was stunning,positive,5.0,10.0,7/18/2016,515k_european_hotel_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv,substantive Positive_Review + Reviewer_Score >= 8.0,17045420096941660192
hotel_241259,hotel,Mercure London Bridge,Mercure London Bridge,Only had enough teabags to make two cups of tea in the 24 hours and limited on the milk portions They recognized my hubby s birthday The bed was very comfortable and great a shower The breakfast was amazing quality and so was the evening meal,They recognized my hubby s birthday The bed was very comfortable and great a shower The breakfast was amazing quality and so was the evening meal,positive,4.4,8.8,5/11/2016,515k_european_hotel_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv,substantive Positive_Review + Reviewer_Score >= 8.0,9674420014212848478
hotel_404797,hotel,Glam Milano,Glam Milano,I paid in advance at least 2 month ago to get an room with excellent view when I arrived gave ne a room in the first floor with view to lateral street I spoke in the front desk and change me the room with train station view excellent Near from the Train Station,Near from the Train Station,positive,4.8,9.6,5/28/2017,515k_european_hotel_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv,substantive Positive_Review + Reviewer_Score >= 8.0,14064105914505723921
hotel_116496,hotel,Goodenough Club,Goodenough Club,It is rather expensive for the quality offered Location was ideal for my purposes,Location was ideal for my purposes,positive,4.15,8.3,6/9/2017,515k_european_hotel_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv,substantive Positive_Review + Reviewer_Score >= 8.0,17869327171643243021
hotel_452307,hotel,Sloane Square Hotel,Sloane Square Hotel,Kept banging my toes on bed drawers Fabulous location very courteous staff,Fabulous location very courteous staff,positive,5.0,10.0,6/6/2016,515k_european_hotel_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv,substantive Positive_Review + Reviewer_Score >= 8.0,5247680112121083967
hotel_185622,hotel,41,41,Perhaps things like coffee could be complimentary for guests and maybe a house wine perhaps considering the prices for the rooms The staff really were excellent and the food that we did have was good nice touches with the complimentary bits on offer throughout the day,The staff really were excellent and the food that we did have was good nice touches with the complimentary bits on offer throughout the day,positive,4.8,9.6,2/23/2016,515k_european_hotel_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv,substantive Positive_Review + Reviewer_Score >= 8.0,4881192089799837680
hotel_479303,hotel,Ilunion Almirante,Ilunion Almirante,The rooms were awfully designed extremely clostrophopic dark and simply ugly The wifi is crazy slow Location was the only convenient thing,The rooms were awfully designed extremely clostrophopic dark and simply ugly The wifi is crazy slow,negative,2.3,4.6,10/2/2016,515k_european_hotel_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv,substantive Negative_Review + Reviewer_Score <= 5.0,3437849277952053179
