review_id,domain,entity_id,entity_name,review_text,sentiment_text,sentiment_label,rating,rating_original,review_date,source,raw_source_path,label_method,text_key
gp:AOqpTOGdKRv-5IMtRF440_fsovyk11JPRnaZDi6rifSibma8he4sot2eb-Kl2fcmjf1aSkyV0MTSMgAiFo_e7sc,mobile_app,com.ticktick.task,com.ticktick.task,If the upgrade free it's well was best.,If the upgrade free it's well was best.,neutral,3,3,2020-10-24 11:34:42,google_play_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\mobile_app\google_play_reviews.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive",6537491137333677740
gp:AOqpTOFDD9CWE2-CybTARXusd8uBfB8rdUvqPpUF98goQcuXlV53NauuW33eSvvkx1PEktJBsQzUi7XiDz14xA,mobile_app,com.todoist,com.todoist,"Has become much worse when the sub tasks were removed, I liked having categories of my tasks sorted out into the categories. Please add back in the option to have subtasks show.","Has become much worse when the sub tasks were removed, I liked having categories of my tasks sorted out into the categories. Please add back in the option to have subtasks show.",negative,2,2,2019-03-23 06:21:07,google_play_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\mobile_app\google_play_reviews.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive",4558881536662270605
gp:AOqpTOGVh7lex0sW_TL1qvGe2tU2Zae3Ajdr-BeUSP-moy5DowC91ZYGzJqoF6e7n4o1ppTVpXWBHo9f0pQPZCg,mobile_app,com.oristats.habitbull,com.oristats.habitbull,"The app itself is great. I used it quite regularly a few years back but when I tried to use it again it seems that the 'new' owners don't acknowledge their 'lifetime' subscription. Sure hope my emails get more results besides ... /ignore kthnxbye Sent an email ... they said they opened a ticket and then ... crickets. Nice .. thanks, downgraded to","The app itself is great. I used it quite regularly a few years back but when I tried to use it again it seems that the 'new' owners don't acknowledge their 'lifetime' subscription. Sure hope my emails get more results besides ... /ignore kthnxbye Sent an email ... they said they opened a ticket and then ... crickets. Nice .. thanks, downgraded to",negative,1,1,2020-03-23 23:09:58,google_play_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\mobile_app\google_play_reviews.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive",18181350589319157056
gp:AOqpTOFQi61xpkn3AOMMKH5N42oRez8JcHTaGImlEglZTB-ATUBFqShnBMHVlhrWrjBODc66zTUaI4IIE-yy-RI,mobile_app,com.ticktick.task,com.ticktick.task,"Its a good application , but it dont tell me what should l do know however i put tasks in different time to notec me ....😔😔😔","Its a good application , but it dont tell me what should l do know however i put tasks in different time to notec me ....😔😔😔",neutral,3,3,2020-09-23 12:55:48,google_play_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\mobile_app\google_play_reviews.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive",18213779445050226861
gp:AOqpTOHKjO5XuAnMlrWZFd9k6rk8nOaOPhSnQ2_o4gO_rxh8AsYXRTkzwC7CDXQNkGxJmDV5CF_K-Te17IK2,mobile_app,com.levor.liferpgtasks,com.levor.liferpgtasks,"First of all it's an excellent app. I like the fact that it is highly customizable. However, I'd like to make a suggestion. Your app lacks the ""emotional"" aspect a bit. I suggest to add support of small custom avatar-like images to the tasks instead of monotone colored icons. This way a task will associate with something positive/inspirational. Pressing on a task could then show a larger version of the image in the task view screen. Do not understimate the power of visual associations.","First of all it's an excellent app. I like the fact that it is highly customizable. However, I'd like to make a suggestion. Your app lacks the ""emotional"" aspect a bit. I suggest to add support of small custom avatar-like images to the tasks instead of monotone colored icons. This way a task will associate with something positive/inspirational. Pressing on a task could then show a larger version of the image in the task view screen. Do not understimate the power of visual associations.",positive,5,5,2020-05-30 20:32:00,google_play_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\mobile_app\google_play_reviews.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive",4316246238407494032
gp:AOqpTOFnIEFx1exWmqPXaOZkoPYCaBFF1fZxQY36OoZPXGyLieRexgW9jbMr9CdVyMDIjLA0LIvx10ud4W7qdRg,mobile_app,com.microsoft.todos,com.microsoft.todos,Very good app and easy to use.,Very good app and easy to use.,positive,4,4,2020-10-06 23:09:09,google_play_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\mobile_app\google_play_reviews.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive",16121615934138427634
gp:AOqpTOGjqh0M_zuvjbb-5XIJjxgEX7ItmbJrNR4zToZ3elbWPIyTj-vZOv6IxkjqHANr7c1KwoRrOriMu5ePsQ,mobile_app,com.appxy.planner,com.appxy.planner,How do I cancel the yearly subscription?,How do I cancel the yearly subscription?,negative,1,1,2017-10-04 16:29:47,google_play_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\mobile_app\google_play_reviews.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive",18185451419258184332
gp:AOqpTOHu72lXSU-MmTamtXIJ7D7sYsSzAFHoHcNwEKluNyUOqrSwfhAc6qXD5wAZgoPUPGyLDrRoFMsXgbT0mw,mobile_app,com.gmail.jmartindev.timetune,com.gmail.jmartindev.timetune,you basically can't do anything if you don't buy the full version.,you basically can't do anything if you don't buy the full version.,negative,2,2,2019-03-10 11:50:13,google_play_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\mobile_app\google_play_reviews.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive",6693980522161926352
gp:AOqpTOHI-IAtXC9QNfqshJMxjgJWEKVCxx35DrwfhJ9AZL1j7NEVcdDF51GrIppcMQFkf4t7UfEGPR7anoPzxg,mobile_app,com.anydo,com.anydo,It stop working and I try to reinstall it but same problem,It stop working and I try to reinstall it but same problem,negative,1,1,2020-08-06 15:04:09,google_play_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\mobile_app\google_play_reviews.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive",16567701635227284503
gp:AOqpTOEX01lHHov866xkxJbFbEW7gJcwgMiSSiAtbSoSUqYvcSj8ebzSGc0SchTE3v33D9zVJtXzY1kXbZEHdg,mobile_app,com.appxy.planner,com.appxy.planner,User friendly and plenty of bells and whistles. ; ),User friendly and plenty of bells and whistles. ; ),positive,4,4,2016-04-27 00:20:42,google_play_reviews,F:\Clients\Irfan Uk\MultiDomain_Review_Analysis_Agentic_AI\data\raw\mobile_app\google_play_reviews.csv,"rating-derived: 1-2 negative, 3 neutral, 4-5 positive",451834377176118904
