review_id,domain,entity_id,entity_name,review_text,rating,rating_original,review_date,source,raw_source_path
aa362c9b0e6f147bb55e27c6890c9414,hotel,Grange St Paul s Hotel,Grange St Paul s Hotel,We were given an upgraded room when they realised it we were there to celebrate a birthday oh and give some cup cakes too,5.0,10.0,4/19/2017,hotel_reviews_europe_515k,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv
be42e88efde8c066db46efcd14846e81,hotel,The Levin Hotel,The Levin Hotel,Lovely staff fabulous location very very small rooms and bathrooms Bathtub was really small think an economy seat in the way back of the plane,4.4,8.8,10/9/2016,hotel_reviews_europe_515k,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv
9d2af6f14b96f758ec7eb06ade58ff2e,hotel,The Grosvenor,The Grosvenor,The staff are quite curt you que for reception for way to long. Excellent location right into Victoria station Rooms basic but comfortable you can t hear the train station at all,3.55,7.1,2/21/2016,hotel_reviews_europe_515k,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv
99f4488e15ddf5a3f1bf055dec1fa3ab,hotel,citizenM Amsterdam,citizenM Amsterdam,The toilet is in the middle of the room Yes it s part of the cool design but there s still a toilet in the middle of the room It doesn t matter how close my travel companions are to me I personally find it a bit embarassing to do a 2 only separated by a glass tube There s no separate ventilation system inside the toilet tube either. Near Amsterdam Zuid Station easy and cheap to reach from the airport and near a Tram station that takes you to the city center The rooms are very nice the bed is huge and comfortable the lighting and the entertainment systems are great I does make you want to spend more time indoors and enjoy it more,4.6,9.2,10/11/2016,hotel_reviews_europe_515k,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv
b9c355b56f60ffb339df61cbb2eb2b81,hotel,Hotel Atlanta,Hotel Atlanta,Reception was very friendly and helpful,3.35,6.7,11/5/2016,hotel_reviews_europe_515k,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv
c3ba8b6c0332d1985dcbaafc568ef577,hotel,Twenty Nevern Square Hotel,Twenty Nevern Square Hotel,It was a very hot day night with only one fan in the corner I did not sleep well due to the heat in the room. Hotel was beautiful room was lovely clean and well appointed Breakfast was excellent Apple on bed on arrival was a nice touch,4.4,8.8,9/1/2016,hotel_reviews_europe_515k,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv
a0cd4ddb354eaefd71cce82c6b52810a,hotel,Der Wilhelmshof,Der Wilhelmshof,The pillows were too flat for my liking. Breakfast was lovely and staff super nice,4.4,8.8,5/15/2017,hotel_reviews_europe_515k,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv
403138dcebd9f24c4ac140d9ccc7d193,hotel,Holiday Inn London Kensington,Holiday Inn London Kensington,Had to pay 200 up front which was a frozen transaction but very inconvenient when you book on line expecting to part with money the day you leave we had not budgeted for this so glad we had taken our credit card to pay this Rooms are extremely small you can t walk around the bed the bed was that small my husbands feet were out the bottom of it The bathroom was dirty it had stains all around the sink. Nice reception area,3.15,6.3,6/19/2016,hotel_reviews_europe_515k,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv
ae162f84155dde5ce549b48921941373,hotel,La Maison Favart,La Maison Favart,My visit end up with disaster as 5000 euro was stolen from my room it s a pitty in small hotel to have thieves inside it was first experience in my life i got stealed in a hotel fir new visitors plz be careful of yr items and keep them with u not in the safe box and dont trust this machine and the worst i didnt receive any correspondance from management as if they dont care i was stolen in their property i could ve easily call police and make it big issue but i know previously it s uselesd. The staff are friendly,3.35,6.7,7/14/2016,hotel_reviews_europe_515k,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv
812296a050f6638bab07ae9cbaf57085,hotel,Hotel SB Icaria Barcelona,Hotel SB Icaria Barcelona,Very dirty,2.7,5.4,9/30/2015,hotel_reviews_europe_515k,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv
8671e84d35f700188e449b7ce3c1199f,hotel,Room Mate Aitana,Room Mate Aitana,Check in staff were excellent Sofia helped us with all sorts of details that made our trip even more enjoyable,5.0,10.0,7/9/2017,hotel_reviews_europe_515k,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv
c55b3f1bde377a6d4184cd5ef6a592b3,hotel,La Villa Maillot,La Villa Maillot,NA. Staff are friendly room is comfortable close to my office,4.4,8.8,10/17/2016,hotel_reviews_europe_515k,F:\Clients\Irfan Uk\Mobile_Review_Analysis_Agentic_AI\data\raw\hotel_europe\Hotel_Reviews.csv
